date,description,amount,category,balance
2026-04-01,Opening Balance,0.00,Statement,1000.00
2026-04-01,Direct Deposit - Employer,4000.00,Income,5000.00
2026-04-02,Rent,-1500.00,Housing,3500.00
2026-04-05,ACH - Honda Financial,-200.00,Auto Loan,3300.00
2026-04-07,ACH - SoFi Student Loan,-100.00,Student Loan,3200.00
2026-04-08,Utilities,-100.00,Utilities,3100.00
2026-04-10,Groceries,-200.00,Groceries,2900.00
2026-04-15,Dining Out,-100.00,Dining Out,2800.00
2026-04-18,Subscriptions,-50.00,Subscriptions,2750.00
2026-04-20,Transport,-100.00,Transport,2650.00
2026-04-25,Entertainment,-50.00,Entertainment,2600.00
2026-04-28,Capital One - CC Payment,-50.00,Credit Card Payment,2550.00
2026-04-30,Closing Balance,0.00,Statement,2550.00
